Date,Equity
2025-04-07,9.591102e+06
2025-04-28,9.51253e+06
2025-05-08,9.584348e+06
2025-05-21,9.700241e+06
2025-06-12,9.875612e+06
2025-06-19,1.030345e+07
2025-06-24,9.789541e+06
2025-07-10,1.0194004e+07
2025-07-17,1.0785688e+07
2025-07-23,1.0883272e+07
2025-07-30,1.092407e+07
2025-08-07,1.0470863e+07
2025-08-20,1.0580411e+07
2025-08-25,1.0679698e+07
2025-09-02,1.1194085e+07
2025-09-09,1.1504398e+07
2025-09-16,1.1341888e+07
2025-09-22,1.1270966e+07
2025-09-29,1.1209984e+07
2025-10-06,1.1148157e+07
2025-10-14,1.1253722e+07
2025-10-16,1.0866086e+07
2025-10-28,1.1535087e+07
2025-11-04,1.1343048e+07
2025-11-11,1.1426426e+07
2025-11-18,1.2269481e+07
2025-11-24,1.2337112e+07
2025-12-02,1.2490004e+07
2025-12-09,1.2093215e+07
2025-12-22,1.1724934e+07
2026-01-05,1.1585126e+07
2026-01-20,1.1531014e+07
